title,publisher,developer,Genre,consol,total_sales,critic_score,north_america_sales,japan_sales,europe_sales,other_sales
The Elder Scrolls V: Skyrim,Bethesda Softworks,Bethesda Game Studios,Role-Playing,PS3,6.49,9.0,2.57,0.25,2.68,0.99
Minecraft,Sony Computer Entertainment,Mojang,Misc,PS4,6.33,9.4,1.89,0.35,3.13,0.96
FIFA 15,EA Sports,EA Canada,Sports,PS4,6.32,8.1,0.83,0.05,4.49,0.94
Driver,GT Interactive,Reflections Interactive,Action,PS,6.27,8.5,3.11,0.02,2.8,0.33
Call of Duty: WWII,Activision,Sledgehammer Games,Shooter,XOne,6.23,8.424999999999999,3.75,0.17972677595628417,1.91,0.57
Minecraft,Sony Computer Entertainment America,Mojang,Misc,PS3,6.05,8.424999999999999,2.21,0.17972677595628417,2.86,0.99
Red Dead Redemption 2,Rockstar Games,Rockstar Games,Action-Adventure,XOne,5.77,8.424999999999999,3.76,0.17972677595628417,1.47,0.54
Destiny,Activision,Bungie,Shooter,PS4,5.76,8.424999999999999,2.53,0.16,2.13,0.94
Tekken 2,Namco,Namco,Fighting,PS,5.74,9.1,2.26,1.36,1.89,0.23
LEGO Star Wars: The Complete Saga,LucasArts,Traveller's Tales,Action,Wii,5.66,8.0,3.57,0.17972677595628417,1.57,0.52
Cooking Mama,Majesco,Office Create,Simulation,DS,5.66,6.6,3.09,0.07,1.92,0.58
Assassin's Creed II,Ubisoft,Ubisoft Montreal,Action,PS3,5.57,9.0,2.54,0.21,1.95,0.86
Assassin's Creed,Ubisoft,Ubisoft Montreal,Action,X360,5.55,8.2,3.28,0.07,1.64,0.56
Batman: Arkham City,Warner Bros. Interactive,Rocksteady Studios,Action,PS3,5.54,9.6,2.72,0.11,1.89,0.82
Forza Motorsport 3,Microsoft Game Studios,Turn 10 Studios,Racing,X360,5.5,9.2,2.99,0.1,1.9,0.51
Call of Duty: World at War,Activision,Treyarch,Shooter,PS3,5.43,8.4,2.75,0.17972677595628417,1.84,0.84
Minecraft,Microsoft Studios,Mojang,Misc,XOne,5.43,8.424999999999999,3.23,0.17972677595628417,1.71,0.49
Crash Bandicoot: The Wrath of Cortex,Universal Interactive,Traveller's Tales,Platform,PS2,5.42,6.9,2.07,0.24,2.29,0.82
Final Fantasy XIII,Square Enix,Square Enix,Role-Playing,PS3,5.35,8.0,1.75,1.87,1.23,0.51
Assassin's Creed III,Ubisoft,Ubisoft Montreal,Action-Adventure,X360,5.31,8.424999999999999,3.13,0.03,1.71,0.45
Assassin's Creed II,Ubisoft,Ubisoft Montreal,Action,X360,5.3,9.1,3.14,0.08,1.55,0.52
Tomb Raider II,Eidos Interactive,Core Design Ltd.,Adventure,PS,5.24,7.6,2.3,0.2,2.46,0.28
Madden NFL 2004,EA Sports,EA Tiburon,Sports,PS2,5.23,9.5,4.26,0.01,0.26,0.71
Call of Duty: Advanced Warfare,Activision,Sledgehammer Games,Shooter,XOne,5.22,8.3,3.25,0.01,1.49,0.48
Medal of Honor: Rising Sun,Electronic Arts,EA Los Angeles,Shooter,PS2,5.13,5.9,1.98,0.13,2.23,0.8
Battlefield 1,Electronic Arts,EA DICE,Shooter,XOne,5.13,9.3,3.37,0.02,1.26,0.48
Microsoft Flight Simulator,Microsoft,Microsoft,Simulation,PC,5.12,7.0,3.22,0.17972677595628417,1.69,0.2
Guitar Hero II,RedOctane,Harmonix Music Systems,Misc,PS2,5.12,9.2,3.81,0.17972677595628417,0.63,0.68
FIFA 13,EA Sports,EA Canada,Sports,X360,5.11,8.424999999999999,1.1,0.03,3.49,0.5
Mario & Sonic at the Olympic Games,Sega,Sega,Sports,DS,5.1,7.0,1.63,0.44,2.46,0.57
Fable III,Microsoft Game Studios,Lionhead Studios,Role-Playing,X360,5.1,7.8,3.59,0.05,1.09,0.37
Resident Evil 5,Capcom,Capcom,Action,PS3,5.1,8.6,1.96,1.08,1.42,0.64
FIFA Soccer 11,EA Sports,EA Canada,Sports,PS3,5.08,8.7,0.61,0.06,3.28,1.12
Grand Theft Auto: Vice City Stories,Rockstar Games,Rockstar Leeds,Action,PSP,5.08,8.4,1.7,0.16,2.03,1.19
Final Fantasy XV,Square Enix,Square Enix,Role-Playing,PS4,5.07,8.1,1.81,1.05,1.53,0.68
Fallout 4,Bethesda Softworks,Bethesda Game Studios,Role-Playing,XOne,5.03,8.4,2.94,0.02,1.62,0.45
Tony Hawk's Pro Skater,Activision,Neversoft Entertainment,Sports,PS,5.02,9.6,3.42,0.02,1.38,0.2
Warzone 2100,Eidos Interactive,Pumpkin Studios,Strategy,PS,5.01,8.424999999999999,2.79,0.17972677595628417,1.89,0.33
Guitar Hero III: Legends of Rock,RedOctane,BudCat Creations,Misc,PS2,4.98,8.2,3.49,0.01,0.01,1.48
Uncharted: Drake's Fortune,Sony Computer Entertainment,Naughty Dog,Action,PS3,4.97,8.7,2.32,0.12,1.73,0.8
Fallout 3,Bethesda Softworks,Bethesda Game Studios,Role-Playing,X360,4.96,9.0,3.41,0.09,0.99,0.46
Madden NFL 06,EA Sports,EA Tiburon,Sports,PS2,4.91,9.1,3.98,0.01,0.26,0.66
Call of Duty: Black Ops IIII,Activision,Treyarch,Shooter,XOne,4.85,8.424999999999999,3.27,0.17972677595628417,1.12,0.46
Assassin's Creed,Ubisoft,Ubisoft Montreal,Action,PS3,4.83,8.2,1.91,0.09,2.01,0.82
Crash Bandicoot N. Sane Trilogy,Activision,Vicarious Visions,Platform,PS4,4.83,8.424999999999999,1.09,0.07,2.92,0.74
Call of Duty: Infinite Warfare,Activision,Infinity Ward,Shooter,XOne,4.79,8.424999999999999,2.91,0.17972677595628417,1.44,0.44
Crash Team Racing,Sony Computer Entertainment,Naughty Dog,Racing,PS,4.79,9.2,2.57,0.44,1.57,0.21
LEGO Star Wars: The Complete Saga,LucasArts,Traveller's Tales,Action,DS,4.77,7.8,2.83,0.17972677595628417,1.49,0.45
Batman: Arkham City,Warner Bros. Interactive,Rocksteady Studios,Action,X360,4.75,9.5,2.99,0.04,1.28,0.44
Driver 2,Atari,Reflections Interactive,Action,PS,4.73,7.0,2.36,0.02,2.1,0.25
The Simpsons: Hit & Run,VU Games,Radical Entertainment,Racing,PS2,4.7,7.7,1.73,0.17972677595628417,2.19,0.79
Tony Hawk's Pro Skater 2,Activision,Neversoft Entertainment,Sports,PS,4.68,9.3,3.05,0.02,1.41,0.2
The Lord of the Rings: The Two Towers,Electronic Arts,Stormfront Studios,Action,PS2,4.67,8.3,1.94,0.08,1.95,0.7
Tomb Raider,Eidos Interactive,Core Design Ltd.,Action,PS,4.63,8.9,2.29,0.13,1.97,0.24
Forza Motorsport 4,Microsoft Studios,Turn 10 Studio,Racing,X360,4.6,9.1,2.08,0.06,1.98,0.49
Guitar Hero III: Legends of Rock,RedOctane,Vicarious Visions,Misc,Wii,4.6,8.6,3.04,0.0,1.12,0.44
FIFA 15,EA Sports,EA Canada,Sports,PS3,4.56,6.9,0.59,0.04,3.25,0.68
Mario & Sonic at the Olympic Winter Games,Sega,Sega,Sports,Wii,4.54,6.8,1.87,0.22,1.97,0.48
Overwatch,Blizzard Entertainment,Blizzard Entertainment,Shooter,PS4,4.54,8.8,1.84,0.17,1.8,0.73
Guitar Hero III: Legends of Rock,RedOctane,Neversoft,Misc,X360,4.53,8.7,3.19,0.01,0.91,0.42
Star Wars Battlefront II (2017),Electronic Arts,EA DICE,Shooter,PS4,4.53,8.424999999999999,1.7,0.12,1.99,0.73
Madden NFL 2005,EA Sports,EA Tiburon,Sports,PS2,4.53,9.5,4.18,0.01,0.26,0.08
Spider-Man: The Movie,Activision,Treyarch,Action,PS2,4.48,8.2,2.71,0.03,1.51,0.23
The Elder Scrolls IV: Oblivion,Take-Two Interactive,Bethesda Softworks,Role-Playing,X360,4.47,9.2,2.89,0.13,1.03,0.41
Tony Hawk's Pro Skater 3,Activision,Neversoft Entertainment,Sports,PS2,4.41,9.1,2.66,0.01,1.29,0.46
Winning Eleven: Pro Evolution Soccer 2007,Konami,Konami Computer Entertainment Tokyo,Sports,PS2,4.39,8.8,0.1,1.05,2.39,0.86
Tom Clancy's The Division,Ubisoft,Massive Entertainment,Shooter,PS4,4.37,8.424999999999999,1.49,0.16,2.04,0.69
Need for Speed: Most Wanted,Electronic Arts,EA Canada,Racing,PS2,4.37,8.6,2.03,0.08,1.79,0.47
Michael Jackson: The Experience,Ubisoft,Ubisoft Montpellier,Misc,Wii,4.37,5.6,2.64,0.01,1.33,0.39
Tom Clancy's Rainbow Six: Siege,Ubisoft,Ubisoft Montreal,Shooter,PS4,4.36,8.424999999999999,1.29,0.36,2.06,0.64
Call of Duty: Advanced Warfare,Activision,High Moon Studios,Shooter,X360,4.34,9.1,2.81,0.0,1.13,0.41
Watch Dogs,Ubisoft,Ubisoft Montreal,Action-Adventure,PS4,4.32,8.424999999999999,1.4,0.11,2.13,0.68
Asteroids,Atari,Atari,Shooter,2600,4.31,8.424999999999999,4.0,0.17972677595628417,0.26,0.05
Batman: Arkham Asylum,Eidos Interactive,Rocksteady Studios,Action,PS3,4.28,9.0,2.26,0.07,1.33,0.63
Call of Duty: Advanced Warfare,Activision,High Moon Studios,Shooter,PS3,4.27,9.1,1.59,0.2,1.81,0.67
Namco Museum,Namco,Mass Media,Misc,GBA,4.24,8.424999999999999,3.0,0.05,1.11,0.07
Assassin's Creed: Revelations,Ubisoft,Ubisoft Montreal,Action,PS3,4.23,8.8,1.41,0.1,2.03,0.69
Assassin's Creed: Revelations,Ubisoft,Ubisoft Montreal,Action,X360,4.22,7.9,2.28,0.04,1.47,0.44
FIFA Soccer 06,EA Sports,EA Canada,Sports,PS2,4.21,8.4,0.78,0.04,2.55,0.84
Street Fighter IV,Capcom,Capcom / Dimps Corporation,Fighting,PS3,4.19,9.3,2.04,0.59,1.05,0.52
FIFA Soccer 12,EA Sports,EA Canada,Sports,X360,4.18,9.2,0.85,0.02,2.79,0.52
Call of Duty: Ghosts,Activision,Infinity Ward,Shooter,PS4,4.17,7.5,1.79,0.05,1.64,0.69
Teenage Mutant Ninja Turtles,Ultra Games,Konami,Platform,NES,4.17,5.9,3.38,0.31,0.44,0.04
Frogger,Hasbro Interactive,Millenium Interactive,Action,PS,4.16,8.424999999999999,3.79,0.17972677595628417,0.27,0.11
FIFA 14,EA Sports,EA Canada,Sports,X360,4.15,8.424999999999999,0.94,0.01,2.92,0.29
Star Wars Battlefront (2015),Electronic Arts,EA DICE,Shooter,XOne,4.15,6.9,2.49,0.02,1.26,0.38
Madden NFL 2003,EA Sports,EA Tiburon,Sports,PS2,4.14,9.4,3.36,0.01,0.21,0.56
Assassin's Creed: Unity,Ubisoft,Ubisoft Montreal,Action,PS4,4.14,8.424999999999999,1.25,0.09,2.16,0.65
Destiny 2,Activision,Bungie,Shooter,PS4,4.14,8.424999999999999,1.92,0.1,1.44,0.69
FIFA 07 Soccer,EA Sports,Team Fusion,Sports,PS2,4.11,8.4,0.71,0.03,2.48,0.89
Batman: Arkham Knight,Warner Bros. Interactive,Rocksteady Studios,Action,PS4,4.11,8.1,1.65,0.11,1.68,0.66
The Sims 4,Electronic Arts,Maxis,Simulation,PC,4.1,7.0,1.2,0.17972677595628417,2.6,0.3
Fallout: New Vegas,Bethesda Softworks,Obsidian Entertainment,Role-Playing,X360,4.08,8.2,2.67,0.04,1.03,0.34
Carnival Games,Global Star Software,Cat Daddy Games,Misc,Wii,4.06,4.2,2.12,0.05,1.47,0.42
Far Cry 4,Ubisoft,Ubisoft Montreal,Shooter,PS4,4.06,8.4,1.18,0.11,2.14,0.63
Assassin's Creed Origins,Ubisoft,Ubisoft Montreal,Action,PS4,4.06,8.424999999999999,1.22,0.11,2.11,0.63
World Soccer Winning Eleven 9,Konami,Konami Computer Entertainment Tokyo,Sports,PS2,4.06,8.9,0.12,0.9,2.26,0.77
Forza Motorsport 2,Microsoft Game Studios,Turn 10 Studios,Racing,X360,4.05,9.1,2.35,0.03,1.27,0.41
Namco Museum Vol.3,Namco,Namco,Misc,PS,4.05,8.424999999999999,2.28,0.16,1.55,0.06
Tekken Tag Tournament,Namco,Namco,Fighting,PS2,4.05,8.7,1.68,0.51,1.51,0.35
Fallout 3,Bethesda Softworks,Bethesda Game Studios,Role-Playing,PS3,4.0,8.8,2.18,0.07,1.15,0.61
The Elder Scrolls V: Skyrim,Bethesda Softworks,Bethesda Game Studios,Role-Playing,PC,3.99,9.2,1.18,0.17972677595628417,2.25,0.56
NBA 2K16,2K Sports,Visual Concepts,Sports,PS4,3.98,8.7,2.56,0.05,0.66,0.71
Namco Museum: 50th Anniversary,Namco,Digital Eclipse,Misc,PS2,3.98,8.424999999999999,2.08,0.17972677595628417,1.35,0.54
Far Cry 5,Ubisoft,Ubisoft,Action,PS4,3.95,7.9,1.44,0.15,1.73,0.62
Battlefield 4,Electronic Arts,EA DICE,Shooter,PS4,3.94,8.3,1.4,0.19,1.74,0.62
Assassin's Creed IV: Black Flag,Ubisoft,Ubisoft Montreal,Action-Adventure,PS3,3.94,8.7,1.34,0.13,1.86,0.62
Tony Hawk's Underground,Activision,Neversoft Entertainment,Sports,PS2,3.9,8.7,2.29,0.01,1.17,0.42
Just Dance 2014,Ubisoft,Ubisoft Paris,Music,Wii,3.89,7.4,1.91,0.17972677595628417,1.66,0.33
Sports Champions,Sony Computer Entertainment,SCE San Diego Studio,Sports,PS3,3.88,7.6,2.15,0.1,1.13,0.5
World Soccer Winning Eleven 8 International,Konami,Konami Computer Entertainment Tokyo,Sports,PS2,3.85,9.3,0.16,1.12,1.89,0.68
Namco Museum Vol.1,Namco,Namco,Misc,PS,3.84,8.424999999999999,2.12,0.22,1.44,0.06
LEGO Indiana Jones: The Original Adventures,LucasArts,Traveller's Tales,Adventure,X360,3.76,7.5,2.4,0.17972677595628417,1.01,0.36
The Sims: Unleashed,Electronic Arts,Maxis,Simulation,PC,3.76,7.3,2.03,0.17972677595628417,1.56,0.17
Ratchet & Clank: Size Matters,Sony Computer Entertainment,High Impact Games,Platform,PSP,3.75,8.5,1.4,0.1,1.4,0.86
FIFA 17,Electronic Arts,EA Canada,Sports,XOne,3.71,8.8,1.04,0.17972677595628417,2.4,0.27
FIFA Soccer 2005,EA Sports,EA Canada,Sports,PS2,3.7,8.4,0.58,0.04,2.48,0.59
Tony Hawk's Pro Skater 4,Activision,Neversoft Entertainment,Sports,PS2,3.67,9.6,2.13,0.01,1.18,0.35
MySims,Electronic Arts,EA Redwood Shores,Simulation,DS,3.66,6.7,1.58,0.08,1.6,0.4
Midnight Club 3: DUB Edition,Rockstar Games,Rockstar Leeds,Racing,PSP,3.66,7.2,1.65,0.17972677595628417,1.22,0.79
SOCOM: U.S. Navy SEALs,Sony Computer Entertainment,Zipper Interactive,Shooter,PS2,3.65,8.0,2.53,0.06,0.81,0.24
Battlefield 4,Electronic Arts,EA DICE,Shooter,PS3,3.64,8.7,1.31,0.27,1.5,0.55
Jak and Daxter: The Precursor Legacy,Sony Computer Entertainment,Naughty Dog,Platform,PS2,3.64,9.0,2.08,0.15,1.09,0.33
Pro Evolution Soccer 2008,Konami,Konami,Sports,PS2,3.63,8.2,0.05,0.64,0.0,2.93
FIFA Soccer 10,EA Sports,EA Canada,Sports,PS3,3.63,9.0,0.6,0.05,2.46,0.52
Guitar Hero: World Tour,Activision,Vicarious Visions,Misc,Wii,3.62,8.4,2.32,0.17972677595628417,0.96,0.34
The Simpsons: Road Rage,Electronic Arts,Radical Entertainment,Racing,PS2,3.61,6.1,2.02,0.17972677595628417,1.17,0.42
Star Wars Battlefront,LucasArts,Pandemic Studios,Shooter,PS2,3.61,8.1,1.93,0.03,1.22,0.44
Doom II,GT Interactive,id Software,Shooter,PC,3.61,9.3,2.05,0.17972677595628417,1.4,0.16
Assassin's Creed Syndicate,Ubisoft,Ubisoft Quebec,Action,PS4,3.6,8.6,0.9,0.08,2.06,0.55
Star Wars Battlefront II,LucasArts,Pandemic Studios,Shooter,PS2,3.59,8.5,2.18,0.03,1.02,0.37
Assassin's Creed: Unity,Ubisoft,Ubisoft Montreal,Action,XOne,3.58,8.424999999999999,2.34,0.0,0.9,0.34
WWF SmackDown!,THQ,Yuke's,Fighting,PS,3.58,8.424999999999999,2.01,0.06,1.35,0.16
Cooking Mama 2: Dinner With Friends,Majesco,Office Create,Simulation,DS,3.58,6.9,1.6,0.1,1.49,0.39
The Getaway,Sony Computer Entertainment,Team Soho,Action,PS2,3.54,7.7,1.23,0.05,1.77,0.49
Tomb Raider III: Adventures of Lara Croft,Eidos Interactive,Core Design Ltd.,Adventure,PS,3.54,8.2,1.66,0.12,1.58,0.18
Grand Theft Auto: Liberty City Stories,Rockstar Games,Rockstar Leeds,Action,PS2,3.54,8.3,1.56,0.07,1.4,0.5
Battlefield 4,Electronic Arts,EA DICE,Shooter,X360,3.54,8.7,2.16,0.02,1.05,0.32
Batman: Arkham Asylum,Eidos Interactive,Rocksteady Studios,Action,X360,3.54,9.1,2.24,0.02,0.95,0.33
Resident Evil 5,Capcom,Capcom,Action,X360,3.53,8.6,2.13,0.12,0.93,0.34
Assassin's Creed: Brotherhood,Ubisoft,Ubisoft Montreal,Action,X360,3.53,9.1,2.87,0.03,0.39,0.25
LEGO Star Wars: The Video Game,Eidos Interactive,Traveller's Tales,Action,PS2,3.53,7.9,1.98,0.01,1.14,0.41
James Bond 007: Agent Under Fire,Electronic Arts,EA Redwood Shores,Shooter,PS2,3.53,8.424999999999999,1.9,0.1,1.13,0.41
Rugrats in Paris: The Movie,THQ,Avalanche Software,Action,PS,3.52,8.424999999999999,1.96,0.17972677595628417,1.33,0.23
